Year,qDef,qLen,HNum,HId,Taxon,Species,Voucher,HLen,Haccn,HspNum,hspScore,Media,State_Year,Host,Field,Latitude,Long,Lat,Clade,Genus,State
2011,AR_127.S.2.8.A,932,1,ref|HQ643596|,Pythium irregulare voucher CBS25028,Pythium irregulare,voucher CBS25028,932,HQ643596,,1784,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_127.S.2.8.A_1,937,1,ref|HQ643642|,Pythium irregulare voucher BR598,Pythium irregulare,voucher BR598,937,HQ643642,,1856,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_127.S.2.9.A,916,1,ref|HQ643731|,Pythium paroecandrum voucher CBS15764,Pythium paroecandrum,voucher CBS15764,916,HQ643731,,1634,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_127.S.3.2.A,923,1,ref|DQ091297|,Pythium paroecandrum isolate 090031,Pythium paroecandrum,isolate 090031,923,DQ091297,,1640,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_127.S.3.2.A_1,929,1,ref|HQ643736|,Pythium paroecandrum voucher ADC9910,Pythium paroecandrum,voucher ADC9910,929,HQ643736,,1690,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_127.S.3.4.A,947,1,ref|HQ643642|,Pythium irregulare voucher BR598,Pythium irregulare,voucher BR598,947,HQ643642,,1858,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_127.S.3.5.A,915,1,ref|HQ643793|,Pythium spinosum voucher CBS27567,Pythium spinosum,voucher CBS27567,915,HQ643793,,1800,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_127.S.3.6.A,936,1,ref|HQ643595|,Pythium irregulare voucher BR900,Pythium irregulare,voucher BR900,936,HQ643595,,1866,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_134.S.2.9.A,944,1,ref|HQ643649|,Pythium irregulare voucher BR1039,Pythium irregulare,voucher BR1039,944,HQ643649,,1826,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_144.S.1.1.A,698,1,ref|HQ643734|,Pythium paroecandrum voucher BR773,Pythium paroecandrum,voucher BR773,698,HQ643734,,1258,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_144.S.1.10.A,940,1,ref|HQ643595|,Pythium irregulare voucher BR900,Pythium irregulare,voucher BR900,940,HQ643595,,1860,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_144.S.1.2.A,890,1,ref|HQ643845|,Pythium sylvaticum voucher CBS45367,Pythium sylvaticum,voucher CBS45367,890,HQ643845,,1266,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_144.S.1.2.B,916,1,ref|HQ643731|,Pythium paroecandrum voucher CBS15764,Pythium paroecandrum,voucher CBS15764,916,HQ643731,,1616,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_144.S.1.4.A,919,1,ref|HQ643731|,Pythium paroecandrum voucher CBS15764,Pythium paroecandrum,voucher CBS15764,919,HQ643731,,1638,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_144.S.1.5.A,926,1,ref|HQ643792|,Pythium spinosum voucher CBS27667,Pythium spinosum,voucher CBS27667,926,HQ643792,,1822,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_144.S.1.6.A,928,1,ref|HQ643731|,Pythium paroecandrum voucher CBS15764,Pythium paroecandrum,voucher CBS15764,928,HQ643731,,1648,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_144.S.1.7.A,918,1,ref|HQ643731|,Pythium paroecandrum voucher CBS15764,Pythium paroecandrum,voucher CBS15764,918,HQ643731,,1632,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_144.S.1.8.A,917,1,ref|HQ643791|,Pythium spinosum voucher CBS122663,Pythium spinosum,voucher CBS122663,917,HQ643791,,1800,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_144.S.1.8.B,892,1,ref|HQ643792|,Pythium spinosum voucher CBS27667,Pythium spinosum,voucher CBS27667,892,HQ643792,,1702,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_144.S.1.9.A,,,HQ261738,Pythium sp. AL-2010 voucher P19448,Pythium sp.,voucher P19448,,HQ261738,,1270.12,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium sp.,Pythium,Arkansas
2011,AR_15.S.1.10.A,912,1,ref|HQ643792|,Pythium spinosum voucher CBS27667,Pythium spinosum,voucher CBS27667,912,HQ643792,,1692,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_15.S.2.10.A,928,1,ref|DQ091297|,Pythium paroecandrum isolate 090031,Pythium paroecandrum,isolate 090031,928,DQ091297,,1676,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_15.S.2.3.A,825,1,ref|HQ643590|,Pythium irregulare voucher BR918,Pythium irregulare,voucher BR918,825,HQ643590,,1564,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_15.S.2.6.A,782,1,ref|HQ643848|,Pythium sylvaticum voucher BR599,Pythium sylvaticum,voucher BR599,782,HQ643848,,1518,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_15.S.2.7.A,770,1,ref|HQ643430|,Pythium aff. torulosum voucher BR897,Pythium aff. torulosum,voucher BR897,770,HQ643430,,1480,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade B,Pythium,Arkansas
2011,AR_15.S.2.7.A_1,918,1,ref|HQ643736|,Pythium paroecandrum voucher ADC9910,Pythium paroecandrum,voucher ADC9910,918,HQ643736,,1670,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_15.S.2.8.A,741,1,ref|HQ643420|,Pythium aff. dissotocum voucher BR907,Pythium aff. dissotocum,voucher BR907,741,HQ643420,,1468,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade B,Pythium,Arkansas
2011,AR_150.S.1.10.A,945,1,ref|HQ643649|,Pythium irregulare voucher BR1039,Pythium irregulare,voucher BR1039,945,HQ643649,,1866,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_150.S.1.5.A,931,1,ref|HQ643582|,Pythium irregulare voucher BR947,Pythium irregulare,voucher BR947,931,HQ643582,,1840,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_150.S.1.6.A,939,1,ref|HQ643642|,Pythium irregulare voucher BR598,Pythium irregulare,voucher BR598,939,HQ643642,,1860,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_150.S.1.8.A,937,1,ref|HQ643649|,Pythium irregulare voucher BR1039,Pythium irregulare,voucher BR1039,937,HQ643649,,1848,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_150.S.1.9.A,934,1,ref|HQ643649|,Pythium irregulare voucher BR1039,Pythium irregulare,voucher BR1039,934,HQ643649,,1804,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_150.S.2.1.A,936,1,ref|HQ643642|,Pythium irregulare voucher BR598,Pythium irregulare,voucher BR598,936,HQ643642,,1818,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_150.S.2.10.A,936,1,ref|HQ643736|,Pythium paroecandrum voucher ADC9910,Pythium paroecandrum,voucher ADC9910,936,HQ643736,,1686,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_150.S.2.6.A,946,1,ref|HQ643642|,Pythium irregulare voucher BR598,Pythium irregulare,voucher BR598,946,HQ643642,,1840,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_150.S.2.7.B,926,1,ref|HQ643794|,Pythium spinosum voucher Lev1526,Pythium spinosum,voucher Lev1526,926,HQ643794,,1798,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_150.S.2.8.A,906,1,ref|HQ643792|,Pythium spinosum voucher CBS27667,Pythium spinosum,voucher CBS27667,906,HQ643792,,1706,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_150.S.3.2.A,944,1,ref|HQ643642|,Pythium irregulare voucher BR598,Pythium irregulare,voucher BR598,944,HQ643642,,1846,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_150.S.3.7.A,932,1,ref|HQ643649|,Pythium irregulare voucher BR1039,Pythium irregulare,voucher BR1039,932,HQ643649,,1846,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_160.S.1.1.A,949,1,ref|HQ643642|,Pythium irregulare voucher BR598,Pythium irregulare,voucher BR598,949,HQ643642,,1852,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_160.S.1.9.A,773,1,ref|HQ643420|,Pythium aff. dissotocum voucher BR907,Pythium aff. dissotocum,voucher BR907,773,HQ643420,,1536,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade B,Pythium,Arkansas
2011,AR_166.S.1.1.A,,,HQ261738,Pythium sp. AL-2010 voucher P19448,Pythium sp.,voucher P19448,,HQ261738,,"1,101.55",C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium sp.,Pythium,Arkansas
2011,AR_166.S.1.10.A,846,1,ref|HQ643845|,Pythium sylvaticum voucher CBS45367,Pythium sylvaticum,voucher CBS45367,846,HQ643845,,1272,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_166.S.1.2.A,826,1,ref|HQ643845|,Pythium sylvaticum voucher CBS45367,Pythium sylvaticum,voucher CBS45367,826,HQ643845,,1266,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_166.S.1.3.A_1,939,1,ref|HQ643642|,Pythium irregulare voucher BR598,Pythium irregulare,voucher BR598,939,HQ643642,,1730,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_166.S.1.3.A,919,1,ref|HQ643731|,Pythium paroecandrum voucher CBS15764,Pythium paroecandrum,voucher CBS15764,919,HQ643731,,1624,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_166.S.1.7.A,841,1,ref|DQ091301|,Pythium sylvaticum isolate 0900115,Pythium sylvaticum,isolate 0900115,841,DQ091301,,1264,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_166.S.3.5.A,842,1,ref|HQ643845|,Pythium sylvaticum voucher CBS45367,Pythium sylvaticum,voucher CBS45367,842,HQ643845,,1252,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_166.S.3.6.A,,,HQ261738,Pythium sp. AL-2010 voucher P19448,Pythium sp.,voucher P19448,,HQ261738,,1419.86,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium sp.,Pythium,Arkansas
2011,AR_171.S.1.1.A,,,HQ261740,Pythium sp. AL-2010 voucher P16024,Pythium sp.,voucher P16024,,HQ261740,,1472.46,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium sp.,Pythium,Arkansas
2011,AR_171.S.1.2.A,926,1,ref|HQ643731|,Pythium paroecandrum voucher CBS15764,Pythium paroecandrum,voucher CBS15764,926,HQ643731,,1642,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_171.S.1.3.A,939,1,ref|HQ643642|,Pythium irregulare voucher BR598,Pythium irregulare,voucher BR598,939,HQ643642,,1856,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_171.S.1.4.A,938,1,ref|HQ643649|,Pythium irregulare voucher BR1039,Pythium irregulare,voucher BR1039,938,HQ643649,,1822,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_171.S.1.5.B,831,1,ref|HQ643792|,Pythium spinosum voucher CBS27667,Pythium spinosum,voucher CBS27667,831,HQ643792,,1542,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_171.S.1.7.A,869,1,ref|HQ643794|,Pythium spinosum voucher Lev1526,Pythium spinosum,voucher Lev1526,869,HQ643794,,1518,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_171.S.1.8.A,832,1,ref|DQ091301|,Pythium sylvaticum isolate 0900115,Pythium sylvaticum,isolate 0900115,832,DQ091301,,1252,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_171.S.1.9.A,894,1,ref|HQ643794|,Pythium spinosum voucher Lev1526,Pythium spinosum,voucher Lev1526,894,HQ643794,,1572,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_171.S.1.9.B,918,1,ref|HQ643731|,Pythium paroecandrum voucher CBS15764,Pythium paroecandrum,voucher CBS15764,918,HQ643731,,1632,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_171.S.2.1.A,917,1,ref|HQ643792|,Pythium spinosum voucher CBS27667,Pythium spinosum,voucher CBS27667,917,HQ643792,,1804,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_171.S.2.4.A,918,1,ref|HQ643731|,Pythium paroecandrum voucher CBS15764,Pythium paroecandrum,voucher CBS15764,918,HQ643731,,1626,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_171.S.2.6.A,932,1,ref|HQ643649|,Pythium irregulare voucher BR1039,Pythium irregulare,voucher BR1039,932,HQ643649,,1850,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_171.S.2.9.A,917,1,ref|HQ643731|,Pythium paroecandrum voucher CBS15764,Pythium paroecandrum,voucher CBS15764,917,HQ643731,,1626,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_182.S.1.8.A,935,1,ref|HQ643642|,Pythium irregulare voucher BR598,Pythium irregulare,voucher BR598,935,HQ643642,,1856,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_182.S.1.8.B,938,1,ref|HQ643642|,Pythium irregulare voucher BR598,Pythium irregulare,voucher BR598,938,HQ643642,,1834,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_182.S.2.7.A,912,1,ref|HQ643794|,Pythium spinosum voucher Lev1526,Pythium spinosum,voucher Lev1526,912,HQ643794,,1742,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_182.S.2.8.A,933,1,ref|HQ643642|,Pythium irregulare voucher BR598,Pythium irregulare,voucher BR598,933,HQ643642,,1802,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_182.S.2.8.B,842,1,ref|HQ643845|,Pythium sylvaticum voucher CBS45367,Pythium sylvaticum,voucher CBS45367,842,HQ643845,,1266,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_188.S.1.1.A,927,1,ref|HQ643793|,Pythium spinosum voucher CBS27567,Pythium spinosum,voucher CBS27567,927,HQ643793,,1830,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_188.S.1.1.B,928,1,ref|HQ643792|,Pythium spinosum voucher CBS27667,Pythium spinosum,voucher CBS27667,928,HQ643792,,1820,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_188.S.1.2.A,921,1,ref|HQ643731|,Pythium paroecandrum voucher CBS15764,Pythium paroecandrum,voucher CBS15764,921,HQ643731,,1642,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_188.S.1.2.B,921,1,ref|HQ643731|,Pythium paroecandrum voucher CBS15764,Pythium paroecandrum,voucher CBS15764,921,HQ643731,,1632,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_188.S.1.3.A,917,1,ref|HQ643794|,Pythium spinosum voucher Lev1526,Pythium spinosum,voucher Lev1526,917,HQ643794,,1800,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_188.S.1.5.A,939,1,ref|HQ643649|,Pythium irregulare voucher BR1039,Pythium irregulare,voucher BR1039,939,HQ643649,,1856,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_188.S.1.6.A,936,1,ref|HQ643649|,Pythium irregulare voucher BR1039,Pythium irregulare,voucher BR1039,936,HQ643649,,1850,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_188.S.1.7.A,917,1,ref|HQ643792|,Pythium spinosum voucher CBS27667,Pythium spinosum,voucher CBS27667,917,HQ643792,,1806,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_188.S.1.9.A,943,1,ref|HQ643649|,Pythium irregulare voucher BR1039,Pythium irregulare,voucher BR1039,943,HQ643649,,1848,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_188.S.2.1.A,903,1,ref|HQ643794|,Pythium spinosum voucher Lev1526,Pythium spinosum,voucher Lev1526,903,HQ643794,,1788,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_188.S.2.2.A,923,1,ref|HQ643642|,Pythium irregulare voucher BR598,Pythium irregulare,voucher BR598,923,HQ643642,,1844,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_188.S.2.5.A,934,1,ref|HQ643649|,Pythium irregulare voucher BR1039,Pythium irregulare,voucher BR1039,934,HQ643649,,1830,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_188.S.2.6.A,915,1,ref|HQ643792|,Pythium spinosum voucher CBS27667,Pythium spinosum,voucher CBS27667,915,HQ643792,,1800,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_188.S.2.7.A,936,1,ref|HQ643649|,Pythium irregulare voucher BR1039,Pythium irregulare,voucher BR1039,936,HQ643649,,1852,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_188.S.2.8.A,836,1,ref|HQ643845|,Pythium sylvaticum voucher CBS45367,Pythium sylvaticum,voucher CBS45367,836,HQ643845,,1260,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_188.S.2.9.A,949,1,ref|HQ643649|,Pythium irregulare voucher BR1039,Pythium irregulare,voucher BR1039,949,HQ643649,,1756,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_188.S.3.2.A,830,1,ref|HQ643792|,Pythium spinosum voucher CBS27667,Pythium spinosum,voucher CBS27667,830,HQ643792,,1548,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_188.S.3.3.A,902,1,ref|HQ643794|,Pythium spinosum voucher Lev1526,Pythium spinosum,voucher Lev1526,902,HQ643794,,1748,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_188.S.3.7.A,936,1,ref|HQ643642|,Pythium irregulare voucher BR598,Pythium irregulare,voucher BR598,936,HQ643642,,1858,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_198.S.1.1.A,931,1,ref|HQ643792|,Pythium spinosum voucher CBS27667,Pythium spinosum,voucher CBS27667,931,HQ643792,,1840,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_198.S.1.2.A,847,1,ref|HQ643845|,Pythium sylvaticum voucher CBS45367,Pythium sylvaticum,voucher CBS45367,847,HQ643845,,1274,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
2011,AR_198.S.1.3.A,811,1,ref|HQ643845|,Pythium sylvaticum voucher CBS45367,Pythium sylvaticum,voucher CBS45367,811,HQ643845,,1266,C,ARSO,SO,ARSO_1,South,-91.41639,34.46175,Pythium Clade F,Pythium,Arkansas
